Vivado Simulator 2020.2
Time resolution is 1 ps
File was opened successfully:      -20000
[0-1] ctrl=[0010], signal=[0000000], alu=[0xxxxxxxxxxxxxxxxx], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0xxxxxxxxxxxxxxxxx]
[0-2] alu_in1=[0xxxxxxxxxxxxxxxxx], alu_in2=[0xxxxxxxxxxxxxxxxx], rd_din=[0xxxxxxxxxxxxxxxxx], func3=[xxx]
[20000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000000], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000000]
[20000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000000], rd_din=[0x00000000000000ff], func3=[000]
[40000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000000], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000000]
[40000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000000], rd_din=[0x00000000000000ff], func3=[000]
[60000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000000], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000000]
[60000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000000], rd_din=[0x00000000000000ff], func3=[000]
[80000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000000], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000004]
[80000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000000], rd_din=[0x00000000000000ff], func3=[001]
[100000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000001], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000008]
[100000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0xffffffffffffffff], func3=[010]
[120000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000001], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x000000000000000c]
[120000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0xffffffffffffffff], func3=[000]
[140000-1] ctrl=[0010], signal=[0000011], alu=[0x0000000000000003], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000010]
[140000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000003], rd_din=[0x0000000000000003], func3=[000]
[160000-1] ctrl=[0110], signal=[0000001], alu=[0xfffffffffffffffd], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0x0000000000000014]
[160000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000003], rd_din=[0xfffffffffffffffd], func3=[000]
[180000-1] ctrl=[1110], signal=[0000001], alu=[0x0000000000000000], mid=[0xfffffffffffffefe] pc=[0x0000000000000018]
[180000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x00000000000000ff], rd_din=[0x0000000000000000], func3=[011]
[200000-1] ctrl=[1100], signal=[0000001], alu=[0x0000000000000001], mid=[0x1fffffffffffffefe] pc=[0x000000000000001c]
[200000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x00000000000000ff], rd_din=[0x0000000000000001], func3=[010]
[220000-1] ctrl=[1000], signal=[0100000], alu=[0x0000000000000004], mid=[0x1fffffffffffffefe] pc=[0x0000000000000020]
